,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
0,5.071394968560843,15.07,20.0,2500.0
1,4.990804038818203,,,
2,4.90922628672387,,,
3,4.825016999803348,,,
4,4.738176178486372,,,
5,4.647388053315182,,,
6,4.555613107023348,,,
7,4.464824994248896,,,
8,4.375023714674859,,,
9,4.285222440839891,,,
10,4.196736942085578,,,
11,4.1112119297865295,,,
12,4.027002691692006,,,
13,3.9427934582487993,,,
14,3.859242113944544,,,
15,3.7766776008557494,,,
16,3.6964156877744268,,,
17,3.618127432036415,,,
18,3.539839179917264,,,
19,3.4628667001949314,,,
20,3.3878678770225483,,,
21,3.3125401147773976,,,
22,3.240830719513363,,,
23,3.1704370956210415,,,
24,3.102675011499311,,,
25,3.0378734089631125,,,
26,2.9750454612911614,,,
27,2.914520110380177,,,
28,2.8576131244358725,,,
29,2.804653445238999,,,
30,2.7543253040930162,,,
31,2.70794446914936,,,
32,2.662550461407468,,,
33,2.6204458753224755,,,
34,2.5816307107019787,,,
35,2.543802372916014,,,
36,2.5082766301492825,,,
37,2.4770271346278854,,,
38,2.4480802338686334,,,
39,2.422751695981462,,,
40,2.400712578807475,,,
41,2.3813049981715793,,,
42,2.3651868380948304,,,
43,2.352029156474627,,,
44,2.3434766634575084,,,
45,2.3368978226943415,,,
46,2.333937344356359,,,
47,2.334266286393746,,,
48,2.3388714749215387,,,
49,2.3470950258843732,,,
50,2.357950113195391,,,
51,2.3714367368880436,,,
52,2.3898574913148782,,,
53,2.410251898157612,,,
54,2.4339357256661622,,,
55,2.460908973935946,,,
56,2.491171643077432,,,
57,2.5243947911543945,,,
58,2.5605784182945244,,,
59,2.598735698421479,,,
60,2.6401823999540266,,,
61,2.6832738126551825,,,
62,2.7283388787221194,,,
63,2.7773512508792115,,,
64,2.8289951609814383,,,
65,2.8835995513533286,,,
66,2.9434670171170634,,,
67,3.005308137414066,,,
68,3.068793970316091,,,
69,3.1349113424866424,,,
70,3.2043181385720096,,,
71,3.276027532440923,,,
72,3.349710582221886,,,
73,3.4247094038016557,,,
74,3.500366112969879,,,
75,3.578325421057848,,,
76,3.6556268481941343,,,
77,3.7358887592910692,,,
78,3.817795385728155,,,
79,3.901017785541913,,,
80,3.98555595903135,,,
81,4.0691073101518755,,,
82,4.154632320027842,,,
83,4.242130989098557,,,
84,4.330945433034934,,,
85,4.421404594610053,,,
86,4.512521646945514,,,
87,4.604954475214269,,,
88,4.694426827528568,,,
89,4.782912358433175,,,
90,4.869095297726575,,,
91,4.9506730472001,,,
92,5.032250802023256,,,
93,5.112183849320266,,,
94,5.191459016690212,,,
95,5.268431590902879,,,
96,5.344417342207956,,,
97,5.417113671733777,,,
98,5.490467891301069,,,
99,5.560532688454256,,,
100,5.627308062629145,,,
101,5.690794013276004,,,
102,5.751977368194003,,,
103,5.814147554991787,,,
104,5.874673031351101,,,
105,5.9332248541904615,,,
106,5.98815830895107,,,
107,6.041775995162844,,,
108,6.094735798415914,,,
109,6.145064061215425,,,
110,6.192760783188086,,,
111,6.23683913517692,,,
112,6.278285945553011,,,
113,6.3157854421595,,,
114,6.351311282376038,,,
115,6.384863465994161,,,
116,6.415126220843639,,,
117,6.444073204632958,,,
118,6.4703886451997485,,,
119,6.495388314409892,,,
120,6.5180853830775405,,,
121,6.537821964969336,,,
122,6.5565717181482706,,,
123,6.571703098178645,,,
124,6.584860820142091,,,
125,6.595715940900797,,,
126,6.6052552895501435,,,
127,6.611505207683479,,,
128,6.615452524420799,,,
129,6.617097239732938,,,
130,6.615452524420799,,,
131,6.612820979927399,,,
132,6.606571061785269,,,
133,6.598676428402262,,,
134,6.589466022872862,,,
135,6.576966186941909,,,
136,6.562163749870296,,,
137,6.545387654803732,,,
138,6.525651072754093,,,
139,6.504269775997851,,,
140,6.48058587861418,,,
141,6.453941494760703,,,
142,6.4269681686520626,,,
143,6.39736329940395,,,
144,6.365126887254742,,,
145,6.3302589324619065,,,
146,6.292759435301463,,,
147,6.253286281943312,,,
148,6.20986581507107,,,
149,6.163155921006576,,,
150,6.113814485979196,,,
151,6.062499396107593,,,
152,6.008881708811376,,,
153,5.953948252949609,,,
